recall,precision
1.0,0.9680064077860646
0.9999921939034386,0.9680061660294096
0.9999843878068772,0.9680059242691008
0.9999765817103158,0.9680056825051384
0.9999687756137543,0.9680054407375221
0.9999687756137543,0.9680127556032463
0.9999609695171929,0.9680125138854254
0.9999531634206316,0.9680122721639512
0.9999453573240701,0.9680120304388239
0.9999375512275087,0.9680117887100431
0.9999297451309472,0.9680115469776088
0.9999219390343859,0.968011305241521
0.9999141329378245,0.9680110635017797
0.999906326841263,0.9680108217583846
0.9998985207447016,0.9680105800113358
0.9998907146481402,0.968010338260633
0.9998829085515788,0.9680100965062763
0.9998751024550173,0.9680098547482656
0.999867296358456,0.9680096129866008
0.999867296358456,0.9680169286577993
0.9998594902618946,0.9680166869459412
0.9998594902618946,0.9680240027811787
0.9998516841653331,0.9680237611191306
0.9998438780687717,0.9680235194534297
0.9998438780687717,0.9680308355061784
0.9998438780687717,0.9680381516695135
0.9998360719722102,0.9680379101070945
0.9998282658756489,0.9680376685410242
0.9998204597790875,0.9680374269713025
0.999812653682526,0.9680371853979292
0.9998048475859647,0.9680369438209041
0.9997970414894032,0.9680367022402273
0.9997892353928418,0.9680364606558988
0.9997892353928418,0.9680437773041283
0.9997814292962804,0.9680435357696232
0.999773623199719,0.968043294231467
0.9997658171031576,0.9680430526896593
0.9997580110065961,0.9680428111442004
0.9997502049100347,0.9680425695950899
0.9997423988134734,0.968042328042328
0.9997345927169119,0.9680420864859145
0.9997267866203505,0.9680418449258492
0.999718980523789,0.9680416033621322
0.9997111744272277,0.9680413617947633
0.9997033683306662,0.9680411202237424
0.9996955622341048,0.9680408786490695
0.9996955622341048,0.9680481960496776
0.9996877561375435,0.9680479545248389
0.999679950040982,0.968047712996349
0.9996721439444206,0.9680474714642074
0.9996643378478591,0.9680472299284143
0.9996565317512978,0.9680469883889695
0.9996487256547364,0.968046746845873
0.9996409195581749,0.9680465052991246
0.9996409195581749,0.9680538231847904
0.9996409195581749,0.9680611411810952
0.9996409195581749,0.9680684592880415
0.9996331134616135,0.9680682178981267
0.9996253073650521,0.9680679765045622
0.9996253073650521,0.9680752948291503
0.9996175012684907,0.9680750534854361
0.9996175012684907,0.9680823719741756
0.9996096951719293,0.9680821306803148
0.9996018890753678,0.9680818893828056
0.9995940829788065,0.9680816480816481
0.999586276882245,0.968081406776842
0.9995784707856836,0.9680811654683874
0.9995706646891223,0.968080924156284
0.9995628585925608,0.968080682840532
0.9995550524959994,0.968080441521131
0.9995472463994379,0.9680802001980812
