fpr,tpr
0.0,0.0
0.0,3.483786457825281e-06
0.0,0.008705982358105378
2.12226811037492e-06,0.008705982358105378
2.12226811037492e-06,0.07405833252044983
4.24453622074984e-06,0.07405833252044983
4.24453622074984e-06,0.07912375803012779
6.36680433112476e-06,0.07912375803012779
6.36680433112476e-06,0.08720962639874026
8.48907244149968e-06,0.08720962639874026
8.48907244149968e-06,0.09297180919998328
1.06113405518746e-05,0.09297180919998328
1.06113405518746e-05,0.09379746659048786
1.273360866224952e-05,0.09379746659048786
1.273360866224952e-05,0.10807750728111369
1.4855876772624439e-05,0.10807750728111369
1.4855876772624439e-05,0.10883348894246178
1.697814488299936e-05,0.10883348894246178
1.697814488299936e-05,0.12225651816446259
1.9100412993374278e-05,0.12225651816446259
1.9100412993374278e-05,0.12482755257033765
2.12226811037492e-05,0.12482755257033765
2.12226811037492e-05,0.12621758336700994
2.334494921412412e-05,0.12621758336700994
2.334494921412412e-05,0.149764496035451
2.546721732449904e-05,0.149764496035451
2.546721732449904e-05,0.15558938699293487
2.758948543487396e-05,0.15558938699293487
2.758948543487396e-05,0.15603879544599433
2.9711753545248878e-05,0.15603879544599433
2.9711753545248878e-05,0.15744624517495576
3.18340216556238e-05,0.15744624517495576
3.18340216556238e-05,0.15806984295090648
3.395628976599872e-05,0.15806984295090648
3.395628976599872e-05,0.1649468374186536
3.607855787637364e-05,0.1649468374186536
3.607855787637364e-05,0.16505483479884617
3.8200825986748555e-05,0.16505483479884617
3.8200825986748555e-05,0.16554953247585735
4.032309409712348e-05,0.16554953247585735
4.032309409712348e-05,0.16575159209041124
4.24453622074984e-05,0.16575159209041124
4.24453622074984e-05,0.16582475160602556
4.456763031787332e-05,0.16582475160602556
4.456763031787332e-05,0.1667409874444336
4.668989842824824e-05,0.1667409874444336
4.668989842824824e-05,0.1667967280277588
4.8812166538623156e-05,0.1667967280277588
4.8812166538623156e-05,0.18399618177004223
5.093443464899808e-05,0.18399618177004223
5.093443464899808e-05,0.19258719917503936
5.3056702759372994e-05,0.19258719917503936
5.3056702759372994e-05,0.19396329482588034
5.517897086974792e-05,0.19396329482588034
5.517897086974792e-05,0.19411309764356685
5.730123898012284e-05,0.19411309764356685
5.730123898012284e-05,0.1942315463831329
5.9423507090497756e-05,0.1942315463831329
5.9423507090497756e-05,0.19432212483103636
6.154577520087267e-05,0.19432212483103636
6.154577520087267e-05,0.22716377976895527
6.36680433112476e-05,0.22716377976895527
6.36680433112476e-05,0.2346887585178579
6.579031142162252e-05,0.2346887585178579
6.579031142162252e-05,0.23470617745014702
6.791257953199743e-05,0.23470617745014702
6.791257953199743e-05,0.23517648862195342
7.003484764237235e-05,0.23517648862195342
7.003484764237235e-05,0.2371169576789621
7.215711575274728e-05,0.2371169576789621
7.215711575274728e-05,0.2375001741893229
7.42793838631222e-05,0.2375001741893229
7.42793838631222e-05,0.23753501205390115
7.640165197349711e-05,0.23753501205390115
7.640165197349711e-05,0.2405763576315826
7.852392008387204e-05,0.2405763576315826
7.852392008387204e-05,0.2464883432505121
8.064618819424696e-05,0.2464883432505121
8.064618819424696e-05,0.24652318111509036
8.276845630462187e-05,0.24652318111509036
8.276845630462187e-05,0.24655105140675296
8.48907244149968e-05,0.24655105140675296
8.48907244149968e-05,0.2639839188417107
8.701299252537172e-05,0.2639839188417107
8.701299252537172e-05,0.2644577137999749
8.913526063574663e-05,0.2644577137999749
8.913526063574663e-05,0.28003720683936956
9.125752874612155e-05,0.28003720683936956
9.125752874612155e-05,0.30984448377252266
9.337979685649648e-05,0.30984448377252266
9.337979685649648e-05,0.3122482964284221
9.55020649668714e-05,0.3122482964284221
9.55020649668714e-05,0.3122622315742534
9.762433307724631e-05,0.3122622315742534
9.762433307724631e-05,0.31261409400649376
9.974660118762124e-05,0.31261409400649376
9.974660118762124e-05,0.3271275483897939
0.00010186886929799616,0.3271275483897939
0.00010186886929799616,0.3280786220927802
0.00010399113740837107,0.3280786220927802
0.00010399113740837107,0.34339334736138016
0.00010611340551874599,0.34339334736138016
0.00010611340551874599,0.343734758434247
0.00010823567362912092,0.343734758434247
0.00010823567362912092,0.355220802385697
0.00011035794173949583,0.355220802385697
0.00011035794173949583,0.3824953665640111
0.00011248020984987075,0.3824953665640111
0.00011248020984987075,0.39038614289098533
0.00011460247796024568,0.39038614289098533
0.00011460247796024568,0.3955700171402294
0.0001167247460706206,0.3955700171402294
0.0001167247460706206,0.3958452362703976
0.00011884701418099551,0.3958452362703976
0.00011884701418099551,0.3960298769526623
0.00012096928229137043,0.3960298769526623
0.00012096928229137043,0.3967266342442274
0.00012309155040174534,0.3967266342442274
0.00012309155040174534,0.40893033820598934
0.00012521381851212027,0.40893033820598934
0.00012521381851212027,0.40934490879447055
0.0001273360866224952,0.40934490879447055
0.0001273360866224952,0.41235141650757373
0.0001294583547328701,0.41235141650757373
0.0001294583547328701,0.43916612087345497
0.00013158062284324503,0.43916612087345497
0.00013158062284324503,0.4426359721854489
0.00013370289095361996,0.4426359721854489
0.00013370289095361996,0.44954432073131645
0.00013582515906399487,0.44954432073131645
0.00013582515906399487,0.4726244060144089
0.0001379474271743698,0.4726244060144089
0.0001379474271743698,0.5278807430219757
0.0001400696952847447,0.5278807430219757
0.0001400696952847447,0.6575124371176544
0.00014219196339511963,0.6575124371176544
0.00014219196339511963,0.6647099399395214
0.00014431423150549456,0.6647099399395214
0.00014431423150549456,0.6693677624336338
0.00014643649961586946,0.6693677624336338
0.00014643649961586946,0.7659661933362133
0.0001485587677262444,0.7659661933362133
0.0001485587677262444,0.9204860578865958
0.00015068103583661932,0.9204860578865958
0.00015068103583661932,0.9275720795418124
0.00015280330394699422,0.9275720795418124
0.00015280330394699422,0.9284883153802205
0.00015492557205736915,0.9284883153802205
0.00015492557205736915,0.9304218168643135
0.00015704784016774408,0.9304218168643135
0.00015704784016774408,0.9336269004055128
0.00015917010827811898,0.9336269004055128
0.00015917010827811898,0.9338150248742353
0.0001612923763884939,0.9338150248742353
0.0001612923763884939,0.9364313485040621
0.00016341464449886884,0.9364313485040621
0.00016341464449886884,0.9371176544362537
0.00016553691260924374,0.9371176544362537
0.00016553691260924374,0.9375984169674335
0.00016765918071961867,0.9375984169674335
0.00016765918071961867,0.9403157704045373
0.0001697814488299936,0.9403157704045373
0.0001697814488299936,0.941956633826173
0.0001719037169403685,0.941956633826173
0.0001719037169403685,0.9450990092111314
0.00017402598505074344,0.9450990092111314
0.00017402598505074344,0.9454578392162873
0.00017614825316111834,0.9454578392162873
0.00017614825316111834,0.9478546842992712
0.00017827052127149327,0.9478546842992712
0.00017827052127149327,0.9526797285433592
0.0001803927893818682,0.9526797285433592
0.0001803927893818682,0.9568219506417135
0.0001825150574922431,0.9568219506417135
0.0001825150574922431,0.957229553657279
0.00018463732560261803,0.957229553657279
0.00018463732560261803,0.9591073145580469
0.00018675959371299296,0.9591073145580469
0.00018675959371299296,0.9593720823288415
0.00018888186182336786,0.9593720823288415
0.00018888186182336786,0.959901617870431
0.0001910041299337428,0.959901617870431
0.0001910041299337428,0.9602987695266231
0.00019312639804411772,0.9602987695266231
0.00019312639804411772,0.9606157940942852
0.00019524866615449262,0.9606157940942852
0.00019524866615449262,0.9608352726411282
0.00019737093426486755,0.9608352726411282
0.00019737093426486755,0.9626120037346191
0.00019949320237524248,0.9626120037346191
0.00019949320237524248,0.9626956146096068
0.00020161547048561738,0.9626956146096068
0.00020161547048561738,0.9628907066512451
0.00020373773859599231,0.9628907066512451
0.00020373773859599231,0.9632948258803529
0.00020586000670636722,0.9632948258803529
0.00020586000670636722,0.9635247557865693
0.00020798227481674215,0.9635247557865693
0.00020798227481674215,0.9639671966667132
0.00021010454292711708,0.9639671966667132
0.00021010454292711708,0.9642424157968813
0.00021222681103749198,0.9642424157968813
0.00021222681103749198,0.9647649837655551
0.0002143490791478669,0.9647649837655551
0.0002143490791478669,0.964827691921796
0.00021647134725824184,0.964827691921796
0.00021647134725824184,0.9650611056144702
0.00021859361536861674,0.9650611056144702
0.00021859361536861674,0.965684703390421
0.00022071588347899167,0.965684703390421
0.00022071588347899167,0.9657961845570714
0.0002228381515893666,0.9657961845570714
0.0002228381515893666,0.9662699795153357
0.0002249604196997415,0.9662699795153357
0.0002249604196997415,0.9663988796142752
0.00022708268781011643,0.9663988796142752
0.00022708268781011643,0.967001574671479
0.00022920495592049136,0.967001574671479
0.00022920495592049136,0.967039896322515
0.00023132722403086626,0.967039896322515
0.00023132722403086626,0.9674126614735024
0.0002334494921412412,0.9674126614735024
0.0002334494921412412,0.9675241426401527
0.0002355717602516161,0.9675241426401527
0.0002355717602516161,0.9675903345828514
0.00023769402836199102,0.9675903345828514
0.00023769402836199102,0.9680501943952844
0.00023981629647236595,0.9680501943952844
0.00023981629647236595,0.9682627053692117
0.00024193856458274086,0.9682627053692117
0.00024193856458274086,0.9685030866348017
0.00024406083269311579,0.9685030866348017
0.00024406083269311579,0.9685762461504159
0.0002461831008034907,0.9685762461504159
0.0002461831008034907,0.9686807597441507
0.00024830536891386564,0.9686807597441507
0.00024830536891386564,0.9687608868326807
0.00025042763702424055,0.9687608868326807
0.00025042763702424055,0.9693844846086315
0.00025254990513461545,0.9693844846086315
0.00025254990513461545,0.9695795766502696
0.0002546721732449904,0.9695795766502696
0.0002546721732449904,0.9697398308273296
0.0002567944413553653,0.9697398308273296
0.0002567944413553653,0.970210141999136
0.0002589167094657402,0.970210141999136
0.0002589167094657402,0.9702867853012082
0.00026103897757611517,0.9702867853012082
0.00026103897757611517,0.9703564610303647
0.00026316124568649007,0.9703564610303647
0.00026316124568649007,0.9703669123897382
0.00026528351379686497,0.9703669123897382
0.00026528351379686497,0.9705132314209668
0.00026952805001761483,0.9705132314209668
0.00026952805001761483,0.9705341341397138
0.00027165031812798973,0.9705341341397138
0.00027165031812798973,0.9706943883167737
0.0002737725862383647,0.9706943883167737
0.0002737725862383647,0.9707048396761472
0.0002758948543487396,0.9707048396761472
0.0002758948543487396,0.9707222586084363
0.0002780171224591145,0.9707222586084363
0.0002780171224591145,0.9708476749209181
0.0002801393905694894,0.9708476749209181
0.0002801393905694894,0.9708546424938337
0.00028226165867986435,0.9708546424938337
0.00028226165867986435,0.9709138668636167
0.00028438392679023926,0.9709138668636167
0.00028438392679023926,0.9709696074469419
0.00028650619490061416,0.9709696074469419
0.00028650619490061416,0.9709870263792311
0.0002886284630109891,0.9709870263792311
0.0002886284630109891,0.9710601858948454
0.000290750731121364,0.9710601858948454
0.000290750731121364,0.9710671534677611
0.0002928729992317389,0.9710671534677611
0.0002928729992317389,0.9710741210406767
0.0002949952673421139,0.9710741210406767
0.0002949952673421139,0.9710915399729658
0.0002971175354524888,0.9710915399729658
